["port 1",""]
["port 2",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.9095061019108281e+14 7.1555753473602490e-02 -1.5715685810238060e+00
1.9219865339494609e+14 5.3726076394282618e-02 -1.6245930361705025e+00
1.9344669659880938e+14 6.5801423011963608e-02 -1.5055371628451455e+00
1.9469473980267266e+14 4.9695537341827960e-02 -1.6251902548719752e+00
1.9594278300653594e+14 6.8761976290087942e-02 -1.4975998464245059e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.9095061019108281e+14 9.1812920177365887e-01 2.3441386054376419e+00
1.9219865339494609e+14 9.2254859474428563e-01 3.6360264367034842e+00
1.9344669659880938e+14 9.2184759983017917e-01 4.9165453556559706e+00
1.9469473980267266e+14 9.2871703792416171e-01 6.2026490185826146e+00
1.9594278300653594e+14 9.2599685779067775e-01 7.4871061533537855e+00
("port 2","mode 1",1,"port 1",1,"transmission")
(5, 3)
1.9095061019108281e+14 8.8843629578214378e-01 2.3465037067628733e+00
1.9219865339494609e+14 8.9618391384680207e-01 3.6157816231563191e+00
1.9344669659880938e+14 8.9619036120167506e-01 4.9190227459740212e+00
1.9469473980267266e+14 8.9885444707465434e-01 6.1839940750311895e+00
1.9594278300653594e+14 9.0389134035038687e-01 7.4882435927327498e+00
("port 2","mode 1",1,"port 2",1,"transmission")
(5, 3)
1.9095061019108281e+14 5.0087474664312924e-02 -2.1100256536405158e+00
1.9219865339494609e+14 5.2783975923210442e-02 -2.0139687598001630e+00
1.9344669659880938e+14 4.0798839741312827e-02 -1.9856118775004450e+00
1.9469473980267266e+14 5.0575509494632451e-02 -2.1193861553554121e+00
1.9594278300653594e+14 4.3747933627135631e-02 -1.8360615195598358e+00
